prAtipadika	antya	nAmapada	liNgam	viBakti	vacanam	rUpam
suhft	d	nAma	puM	praTamA	bahu	suhfdaH
suhft	d	nAma	puM	dvitIyA	eka	suhfdam
suhft	d	nAma	puM	dvitIyA	dvi	suhfdO
suhft	d	nAma	puM	dvitIyA	bahu	suhfdaH
suhft	d	nAma	puM	tftIyA	eka	suhfdA
suhft	d	nAma	puM	tftIyA	dvi	suhfdByAm
suhft	d	nAma	puM	tftIyA	bahu	suhfdBiH
suhft	d	nAma	puM	caturTI	eka	suhfde
suhft	d	nAma	puM	caturTI	dvi	suhfdByAm
suhft	d	nAma	puM	caturTI	bahu	suhfdByaH
suhft	d	nAma	puM	paYcamI	eka	suhfdaH
suhft	d	nAma	puM	paYcamI	dvi	suhfdByAm
suhft	d	nAma	puM	paYcamI	bahu	suhfdByaH
suhft	d	nAma	puM	zazWI	eka	suhfdaH
suhft	d	nAma	puM	zazWI	dvi	suhfdoH
suhft	d	nAma	puM	zazWI	bahu	suhfdAm
suhft	d	nAma	puM	saptamI	eka	suhfdi
suhft	d	nAma	puM	saptamI	dvi	suhfdoH
suhft	d	nAma	puM	saptamI	bahu	suhftsu
suhft	d	nAma	puM	samboDana	eka	suhft
suhft	d	nAma	puM	samboDana	dvi	suhfdO
suhft	d	nAma	puM	samboDana	bahu	suhfdaH
buD	D	nAma	puM	praTamA	eka	But
buD	D	nAma	puM	praTamA	dvi	buDO
buD	D	nAma	puM	praTamA	bahu	buDaH
buD	D	nAma	puM	dvitIyA	eka	buDam
buD	D	nAma	puM	dvitIyA	dvi	buDO
buD	D	nAma	puM	dvitIyA	bahu	buDaH
buD	D	nAma	puM	tftIyA	eka	buDA
buD	D	nAma	puM	tftIyA	dvi	BudByAm
buD	D	nAma	puM	tftIyA	bahu	BudBiH
buD	D	nAma	puM	caturTI	eka	buDe
buD	D	nAma	puM	caturTI	dvi	BudByAm
buD	D	nAma	puM	caturTI	bahu	BudByaH
buD	D	nAma	puM	paYcamI	eka	buDaH
buD	D	nAma	puM	paYcamI	dvi	BudByAm
buD	D	nAma	puM	paYcamI	bahu	BudByaH
buD	D	nAma	puM	zazWI	eka	buDaH
buD	D	nAma	puM	zazWI	dvi	buDoH
buD	D	nAma	puM	zazWI	bahu	buDAm
buD	D	nAma	puM	saptamI	eka	buDi
buD	D	nAma	puM	saptamI	dvi	buDoH
buD	D	nAma	puM	saptamI	bahu	Butsu
buD	D	nAma	puM	samboDana	eka	But
buD	D	nAma	puM	samboDana	dvi	buDO
buD	D	nAma	puM	samboDana	bahu	buDaH
Atman 	n	nAma	puM	praTamA	eka	AtmA
Atman 	n	nAma	puM	praTamA	dvi	AtmAnO
Atman 	n	nAma	puM	praTamA	bahu	AtmAnaH
Atman 	n	nAma	puM	dvitIyA	eka	AtmAnam
Atman 	n	nAma	puM	dvitIyA	dvi	AtmAnO
Atman 	n	nAma	puM	dvitIyA	bahu	AtmanaH
Atman 	n	nAma	puM	tftIyA	eka	AtmanA
Atman 	n	nAma	puM	tftIyA	dvi	AtmaByAm
Atman 	n	nAma	puM	tftIyA	bahu	AtmaBiH
Atman 	n	nAma	puM	caturTI	eka	Atmane
Atman 	n	nAma	puM	caturTI	dvi	AtmaByAm
Atman 	n	nAma	puM	caturTI	bahu	AtmaByaH
Atman 	n	nAma	puM	paYcamI	eka	AtmanaH
Atman 	n	nAma	puM	paYcamI	dvi	AtmaByAm
Atman 	n	nAma	puM	paYcamI	bahu	AtmaByaH
Atman 	n	nAma	puM	zazWI	eka	AtmanaH
Atman 	n	nAma	puM	zazWI	dvi	AtmanoH
Atman 	n	nAma	puM	zazWI	bahu	AtmanAm
Atman 	n	nAma	puM	saptamI	eka	Atmani
Atman 	n	nAma	puM	saptamI	dvi	AtmanoH
Atman 	n	nAma	puM	saptamI	bahu	Atmasu
