	लट्लकारः	लोट्लकारः	लङ्लकारः	विधिलिङ्लकारः	लृट्लकारः	लुट्लकारः	आशीर्लिङ्लकारः	लृङ्लकारः	लिट्लकारः	लुङ्लकारः
										
दिवादिगणः										
प्रथमपुरुषः	बालकः/बालिका पत्रं क्षिप्यति	बालकः/बालिका पत्रं क्षिप्यतु	बालकः/बालिका पत्रम् अक्षिप्यत्	बालकः/बालिका पत्रं क्षिप्येत्	बालकः/बालिका पत्रं क्षेप्स्यति	बालकः/बालिका पत्रं क्षेप्ता	बालकः/बालिका पत्रं क्षिप्यात्	बालकः/बालिका पत्रम् अक्षेप्स्यत्	बालकः/बालिका पत्रं चिक्षेप	बालकः/बालिका पत्रम् अक्षिपत्
	बालकौ/बालिके पत्रे क्षिप्यतः	बालकौ/बालिके पत्रे क्षिप्यताम्	बालकौ/बालिके पत्रे अक्षिप्यताम्	बालकौ/बालिके पत्रे क्षिप्येताम्	बालकौ/बालिके पत्रे क्षेप्स्यतः	बालकौ/बालिके पत्रे क्षेप्तारौ	बालकौ/बालिके पत्रे क्षिप्यास्ताम्	बालकौ/बालिके पत्रे अक्षेप्स्यताम्	बालकौ/बालिके पत्रे चिक्षिपतुः	बालकौ/बालिके पत्रे अक्षिपताम्
	बालकाः/बालिकाः पत्राणि क्षिप्यन्ति	बालकाः/बालिकाः पत्राणि क्षिप्यन्तु	बालकाः/बालिकाः पत्राणि अक्षिप्यन्	बालकाः/बालिकाः पत्राणि क्षिप्येयुः	बालकाः/बालिकाः पत्राणि क्षेप्स्यन्ति	बालकाः/बालिकाः पत्राणि क्षेप्तारः	बालकाः/बालिकाः पत्राणि क्षिप्यासुः	बालकाः/बालिकाः पत्राणि अक्षेप्स्यन्	बालकाः/बालिकाः पत्राणि चिक्षिपुः	बालकाः/बालिकाः पत्राणि अक्षिपन्
										
मध्यमपुरुषः	त्वं पत्रं क्षिप्यसि	त्वं पत्रं क्षिप्य	त्वं पत्रम् अक्षिप्यः	त्वं पत्रं क्षिप्येः	त्वं पत्रं क्षेप्स्यसि	त्वं पत्रं क्षेप्तासि	त्वं पत्रं क्षिप्याः	त्वं पत्रम् अक्षेप्स्यः	त्वं पत्रं चिक्षेपिथ	त्वं पत्रम् अक्षिपः
	युवां पत्रे क्षिप्यथः	युवां पत्रे क्षिप्यतम्	युवां पत्रे अक्षिप्यतम्	युवां पत्रे क्षिप्येतम्	युवां पत्रे क्षेप्स्यथः	युवां पत्रे क्षेप्तास्थः	युवां पत्रे क्षिप्यास्तम्	युवां पत्रे अक्षेप्स्यतम्	युवां पत्रे चिक्षिपथुः	युवां पत्रे अक्षिपतम्
	यूयं पत्राणि क्षिप्यथ	यूयं पत्राणि क्षिप्यत	यूयं पत्राणि अक्षिप्यत	यूयं पत्राणि क्षिप्येत	यूयं पत्राणि क्षेप्स्यथ	यूयं पत्राणि क्षेप्तास्थ	यूयं पत्राणि क्षिप्यास्त	यूयं पत्राणि अक्षेप्स्यत	यूयं पत्राणि चिक्षिप	यूयं पत्राणि अक्षिपत
										
उत्तमपुरुषः	अहं पत्रं क्षिप्यामि	अहं पत्रं क्षिप्यामि	अहं पत्रम् अक्षिप्यम्	अहं पत्रं क्षिप्येयम्	अहं पत्रं क्षेप्स्यामि	अहं पत्रं क्षेप्तास्मि	अहं पत्रं क्षिप्यासम्	अहं पत्रम् अक्षेप्स्यम्	अहं पत्रं चिक्षेप	अहं पत्रम् अक्षिपम्
	आवां पत्रे क्षिप्यावः	आवां पत्रे क्षिप्यावः	आवां पत्रे अक्षिप्याव	आवां पत्रे क्षिप्येव	आवां पत्रे क्षेप्स्यावः	आवां पत्रे क्षेप्तास्वः	आवां पत्रे क्षिप्यास्व	आवां पत्रे अक्षेप्स्याव	आवां पत्रे चिक्षिपिव	आवां पत्रे अक्षिपाव
	वयं पत्राणि क्षिप्यामः	वयं पत्राणि क्षिप्यामः	वयं पत्राणि अक्षिप्याम	वयं पत्राणि क्षिप्येम	वयं पत्राणि क्षेप्स्यामः	वयं पत्राणि क्षेप्तास्मः	वयं पत्राणि क्षिप्यास्म	वयं पत्राणि अक्षेप्स्याम	वयं पत्राणि चिक्षिपिम	वयं पत्राणि अक्षिपाम
										
स्वादिगणः										
प्रथमपुरुषः	बालकः/बालिका फलम् आप्नोति	बालकः/बालिका फलम् आप्नोतु	बालकः/बालिका फलम् आप्नोत्	बालकः/बालिका फलम् आप्नुयात्	बालकः/बालिका फलम् आप्स्यति	बालकः/बालिका फलम् आप्ता	बालकः/बालिका फलम् आप्यात्	बालकः/बालिका फलम् आप्स्यत्	बालकः/बालिका फलम् आप	बालकः/बालिका फलम् आपत् 
	बालकौ/बालिके फले आप्नुतः	बालकौ/बालिके फले आप्नुतः	बालकौ/बालिके फले आप्नुताम्	बालकौ/बालिके फले आप्नुयाताम्	बालकौ/बालिके फले आप्स्यतः	बालकौ/बालिके फले आप्तारौ	बालकौ/बालिके फले आप्यास्ताम्	बालकौ/बालिके फले आप्स्यताम्	बालकौ/बालिके फले आपतुः	बालकौ/बालिके फले आपताम्
	बालकाः/बालिकाः फलानि आप्नुवन्ति	बालकाः/बालिकाः फलानि आप्नुवन्तु	बालकाः/बालिकाः फलानि आप्नुवन्	बालकाः/बालिकाः फलानि आप्नुयुः	बालकाः/बालिकाः फलानि आप्स्यन्ति	बालकाः/बालिकाः फलानि आप्तारः	बालकाः/बालिकाः फलानि आप्यासुः	बालकाः/बालिकाः फलानि आप्स्यन्	बालकाः/बालिकाः फलानि आपुः	बालकाः/बालिकाः फलानि आपन्
										
मध्यमपुरुषः	त्वं फलम् आप्नोषि	त्वं फलम् आप्नुहि	त्वं फलम् आप्नोः	त्वं फलम् आप्नुयाः	त्वं फलम् आप्स्यसि	त्वं फलम् आप्तासि	त्वं फलम् आप्याः	त्वं फलम् आप्स्यः	त्वं फलम् आपिथ	त्वं फलम् आपः
	युवां फले आप्नुथः	युवां फले आप्नुतम्	युवां फले आप्नुतम्	युवां फले आप्नुयातम्	युवां फले आप्स्यथः	युवां फले आप्तास्थः	युवां फले आप्यास्तम्	युवां फले आप्स्यतम्	युवां फले आपथुः	युवां फले आपतम्
	यूयं फलानि आप्नुथ	यूयं फलानि आप्नुत	यूयं फलानि आप्नुत	यूयं फलानि आप्नुयात	यूयं फलानि आप्स्यथ	यूयं फलानि आप्तास्थ	यूयं फलानि आप्यास्त	यूयं फलानि आप्स्यत	यूयं फलानि आप	यूयं फलानि आपत
										
उत्तमपुरुषः	अहं फलम् आप्नोमि	अहं फलम् आप्नोमि	अहं फलम् आप्नवम्	अहं फलम् आप्नुयाम्	अहं फलम् आप्स्यामि	अहं फलम् आप्तास्मि	अहं फलम् आप्यासम्	अहं फलम् आप्स्यम्	अहं फलम् आप	अहं फलम् आपम्
	आवां फले आप्नुमः	आवां फले आप्नुवः	आवां फले आप्नुव	आवां फले आप्नुयाव	आवां फले आप्स्यावः	आवां फले आप्तास्वः	आवां फले आप्यास्व	आवां फले आप्स्याव	आवां फले आपिव	आवां फले आपाव
	वयं फलानि आप्नुमः	वयं फलानि आप्नुमः	वयं फलानि आप्नुम	वयं फलानि आप्नुयाम	वयं फलानि आप्स्यामः	वयं फलानि आप्तास्मः	वयं फलानि आप्यास्म	वयं फलानि आप्स्याम	वयं फलानि आपिम	वयं फलानि आपाम
										
तुदादिगणः										
प्रथमपुरुषः	बालकः/बालिका पुस्तकं लिखति 	बालकः/बालिका पुस्तकं लिखतु	बालकः/बालिका पुस्तकम् अलिखत् 	बालकः/बालिका पुस्तकं लिखेत्	बालकः/बालिका पुस्तकं लेखिष्यति	बालकः/बालिका पुस्तकं लेखिता	बालकः/बालिका पुस्तकं लिख्यात्	बालकः/बालिका पुस्तकम् अलेखिष्यत्	बालकः/बालिका पुस्तकं लिलेख	बालकः/बालिका पुस्तकम् अलेखीत् 
	बालकौ/बालिके पुस्तके लिखतः 	बालकौ/बालिके पुस्तके लिखताम्	बालकौ/बालिके पुस्तके अलिखताम् 	बालकौ/बालिके पुस्तके लिखेताम्	बालकौ/बालिके पुस्तके लेखिष्यतः	बालकौ/बालिके पुस्तके लेखितारौ	बालकौ/बालिके पुस्तके लिख्यास्ताम्	बालकौ/बालिके पुस्तके अलेखिष्यताम्	बालकौ/बालिके पुस्तके लिलेखतुः	बालकौ/बालिके पुस्तके अलेखिष्टाम् 
	बालकाः/बालिकाः पुस्तकानि लिखन्ति  	बालकाः/बालिकाः पुस्तकानि लिखन्तु  	बालकाः/बालिकाः पुस्तकानि अलिखन्  	बालकाः/बालिकाः पुस्तकानि लिखेयुः	बालकाः/बालिकाः पुस्तकानि लेखिष्यन्ति	बालकाः/बालिकाः पुस्तकानि लेखितारः	बालकाः/बालिकाः पुस्तकानि लिख्यासुः 	बालकाः/बालिकाः पुस्तकानि अलेखिष्यन्	बालकाः/बालिकाः पुस्तकानि लिलिखुः 	बालकाः/बालिकाः पुस्तकानि अलेखिषुः 
										
मध्यमपुरुषः	त्वं पुस्तकं लिखसि	त्वं पुस्तकं लिख	त्वं पुस्तकम् अलिखः	त्वं पुस्तकं लिखेः	त्वं पुस्तकं लेखिष्यसि	त्वं पुस्तकं लेखितासि	त्वं पुस्तकं लिख्याः	त्वं पुस्तकम् अलेखिष्यः	त्वं पुस्तकं लिलेखिथ	त्वं पुस्तकम् अलेखीः
	युवां पुस्तके लिखथः	युवां पुस्तके लिखतम्	युवां पुस्तके अलिखतम्	युवां पुस्तके लिखेतम्	युवां पुस्तके लेखिष्यथः	युवां पुस्तके लेखितास्थः	युवां पुस्तके लिख्यास्तम्	युवां पुस्तके अलेखिष्यातम्	युवां पुस्तके लिलेखथुः	युवां पुस्तके अलेखिष्टम्
	यूयं पुस्तके लिखथ	यूयं पुस्तके लिखत	यूयं पुस्तके अलिखत  	यूयं पुस्तके लिखेत	यूयं पुस्तके लेखिष्यथ	यूयं पुस्तके लेखितास्थ	यूयं पुस्तके लिख्यास्त	यूयं पुस्तके अलेखिष्यत	यूयं पुस्तके लिलिष	यूयं पुस्तके अलेखिष्ट
										
