प्रातिपदिक	नामपद	लिङ्गम्	विभक्ति	वचनम्	रूपम्
सर्व	सर्वनाम	स्त्री	षष्ठी	बहु	सर्वासाम्
सर्व	सर्वनाम	स्त्री	सप्तमी	एक	सर्वायाम्
सर्व	सर्वनाम	स्त्री	सप्तमी	द्वि	सर्वयोः
सर्व	सर्वनाम	स्त्री	सप्तमी	बहु	सर्वासु
सर्व	सर्वनाम	स्त्री	सम्बोधन	एक	
सर्व	सर्वनाम	स्त्री	सम्बोधन	द्वि	
सर्व	सर्वनाम	स्त्री	सम्बोधन	बहु	
पूर्व	सर्वनाम	स्त्री	प्रथमा	एक	पूर्वा
पूर्व	सर्वनाम	स्त्री	प्रथमा	द्वि	पूर्वे
पूर्व	सर्वनाम	स्त्री	प्रथमा	बहु	पूर्वाः
पूर्व	सर्वनाम	स्त्री	द्वितीया	एक	पूर्वाम्
पूर्व	सर्वनाम	स्त्री	द्वितीया	द्वि	पूर्वे
पूर्व	सर्वनाम	स्त्री	द्वितीया	बहु	पूर्वाः
पूर्व	सर्वनाम	स्त्री	तृतीया	एक	पूर्वया
पूर्व	सर्वनाम	स्त्री	तृतीया	द्वि	पूर्वाभ्याम्
पूर्व	सर्वनाम	स्त्री	तृतीया	बहु	पूर्वाभिः
पूर्व	सर्वनाम	स्त्री	चतुर्थी	एक	पूर्वायै
पूर्व	सर्वनाम	स्त्री	चतुर्थी	द्वि	पूर्वाभ्याम्
पूर्व	सर्वनाम	स्त्री	चतुर्थी	बहु	पूर्वाभ्यः
पूर्व	सर्वनाम	स्त्री	पञ्चमी	एक	पूर्वायाः
पूर्व	सर्वनाम	स्त्री	पञ्चमी	द्वि	पूर्वाभ्याम्
पूर्व	सर्वनाम	स्त्री	पञ्चमी	बहु	पूर्वाभ्यः
पूर्व	सर्वनाम	स्त्री	षष्ठी	एक	पूर्वायाः
पूर्व	सर्वनाम	स्त्री	षष्ठी	द्वि	पूर्वयोः
पूर्व	सर्वनाम	स्त्री	षष्ठी	बहु	पूर्वासाम्
पूर्व	सर्वनाम	स्त्री	सप्तमी	एक	पूर्वायाम्
पूर्व	सर्वनाम	स्त्री	सप्तमी	द्वि	पूर्वयोः
पूर्व	सर्वनाम	स्त्री	सप्तमी	बहु	पूर्वासु
पूर्व	सर्वनाम	स्त्री	सम्बोधन	एक	
पूर्व	सर्वनाम	स्त्री	सम्बोधन	द्वि	
पूर्व	सर्वनाम	स्त्री	सम्बोधन	बहु	
अन्य	सर्वनाम	स्त्री	प्रथमा	एक	अन्या
अन्य	सर्वनाम	स्त्री	प्रथमा	द्वि	अन्ये
अन्य	सर्वनाम	स्त्री	प्रथमा	बहु	अन्याः
अन्य	सर्वनाम	स्त्री	द्वितीया	एक	अन्याम्
अन्य	सर्वनाम	स्त्री	द्वितीया	द्वि	अन्ये
अन्य	सर्वनाम	स्त्री	द्वितीया	बहु	अन्याः
अन्य	सर्वनाम	स्त्री	तृतीया	एक	अन्यया
अन्य	सर्वनाम	स्त्री	तृतीया	द्वि	अन्याभ्याम्
अन्य	सर्वनाम	स्त्री	तृतीया	बहु	अन्याभिः
अन्य	सर्वनाम	स्त्री	चतुर्थी	एक	अन्यायै
अन्य	सर्वनाम	स्त्री	चतुर्थी	द्वि	अन्याभ्याम्
अन्य	सर्वनाम	स्त्री	चतुर्थी	बहु	अन्याभ्यः
अन्य	सर्वनाम	स्त्री	पञ्चमी	एक	अन्यायाः
अन्य	सर्वनाम	स्त्री	पञ्चमी	द्वि	अन्याभ्याम्
