prAtipadika	nAmapada	liNgam	viBakti	vacanam	rUpam
kartf	nAma	puM	samboDana	bahu	kartAraH
Bavat	nAma	puM	praTamA	eka	BavAn
Bavat	nAma	puM	praTamA	dvi	BavantO
Bavat	nAma	puM	praTamA	bahu	BavantaH
Bavat	nAma	puM	dvitIyA	eka	Bavantam
Bavat	nAma	puM	dvitIyA	dvi	BavantO
Bavat	nAma	puM	dvitIyA	bahu	BavataH
Bavat	nAma	puM	tftIyA	eka	BavatA
Bavat	nAma	puM	tftIyA	dvi	BavadByAm
Bavat	nAma	puM	tftIyA	bahu	BavadBiH
Bavat	nAma	puM	caturTI	eka	Bavate
Bavat	nAma	puM	caturTI	dvi	BavadByAm
Bavat	nAma	puM	caturTI	bahu	BavadByaH
Bavat	nAma	puM	paYcamI	eka	BavataH
Bavat	nAma	puM	paYcamI	dvi	BavadByAm
Bavat	nAma	puM	paYcamI	bahu	BavadByaH
Bavat	nAma	puM	zazWI	eka	BavataH
Bavat	nAma	puM	zazWI	dvi	BavatoH
Bavat	nAma	puM	zazWI	bahu	BavatAm
Bavat	nAma	puM	saptamI	eka	Bavati
Bavat	nAma	puM	saptamI	dvi	BavatoH
Bavat	nAma	puM	saptamI	bahu	Bavatsu
Bavat	nAma	puM	samboDana	eka	Bavan
Bavat	nAma	puM	samboDana	dvi	BavantO
Bavat	nAma	puM	samboDana	bahu	BavantaH
karin	nAma	puM	praTamA	eka	karI
karin	nAma	puM	praTamA	dvi	kariRO
karin	nAma	puM	praTamA	bahu	kariRaH
karin	nAma	puM	dvitIyA	eka	kariRam
karin	nAma	puM	dvitIyA	dvi	kariRO
karin	nAma	puM	dvitIyA	bahu	kariRaH
karin	nAma	puM	tftIyA	eka	kariRA
karin	nAma	puM	tftIyA	dvi	kariByAm
karin	nAma	puM	tftIyA	bahu	kariBiH
karin	nAma	puM	caturTI	eka	kariRe
karin	nAma	puM	caturTI	dvi	kariByAm
karin	nAma	puM	caturTI	bahu	kariByaH
karin	nAma	puM	paYcamI	eka	kariRaH
karin	nAma	puM	paYcamI	dvi	kariByAm
karin	nAma	puM	paYcamI	bahu	kariByaH
karin	nAma	puM	zazWI	eka	kariRaH
karin	nAma	puM	zazWI	dvi	kariRoH
karin	nAma	puM	zazWI	bahu	karIRAm
karin	nAma	puM	saptamI	eka	kariRi
karin	nAma	puM	saptamI	dvi	kariRoH
karin	nAma	puM	saptamI	bahu	karizu
karin	nAma	puM	samboDana	eka	karin
karin	nAma	puM	samboDana	dvi	he kariRO
karin	nAma	puM	samboDana	bahu	kariRaH
Bagavat	nAma	puM	praTamA	eka	BagavAn
Bagavat	nAma	puM	praTamA	dvi	BagavantO
Bagavat	nAma	puM	praTamA	bahu	BagavantaH
Bagavat	nAma	puM	dvitIyA	eka	Bagavantam
Bagavat	nAma	puM	dvitIyA	dvi	BagavantO
Bagavat	nAma	puM	dvitIyA	bahu	BagavataH
Bagavat	nAma	puM	tftIyA	eka	BagavatA
Bagavat	nAma	puM	tftIyA	dvi	BagavadByAm
Bagavat	nAma	puM	tftIyA	bahu	BagavadBiH
Bagavat	nAma	puM	caturTI	eka	Bagavate
Bagavat	nAma	puM	caturTI	dvi	BagavadByAm
Bagavat	nAma	puM	caturTI	bahu	BagavadByaH
Bagavat	nAma	puM	paYcamI	eka	BagavataH
Bagavat	nAma	puM	paYcamI	dvi	BagavadByAm
Bagavat	nAma	puM	paYcamI	bahu	BagavadByaH
Bagavat	nAma	puM	zazWI	eka	BagavataH
Bagavat	nAma	puM	zazWI	dvi	BagavatoH
Bagavat	nAma	puM	zazWI	bahu	BagavatAm
Bagavat	nAma	puM	saptamI	eka	Bagavati
Bagavat	nAma	puM	saptamI	dvi	BagavatoH
Bagavat	nAma	puM	saptamI	bahu	Bagavatsu
Bagavat	nAma	puM	samboDana	eka	Bagavan
Bagavat	nAma	puM	samboDana	dvi	he BagavantO
Bagavat	nAma	puM	samboDana	bahu	BagavantaH
DImat	nAma	puM	praTamA	eka	DImAn
DImat	nAma	puM	praTamA	dvi	DImantO
DImat	nAma	puM	praTamA	bahu	DImantaH
DImat	nAma	puM	dvitIyA	eka	DImantam
DImat	nAma	puM	dvitIyA	dvi	DImantO
DImat	nAma	puM	dvitIyA	bahu	DImataH
DImat	nAma	puM	tftIyA	eka	DImatA
DImat	nAma	puM	tftIyA	dvi	DImadByAm
DImat	nAma	puM	tftIyA	bahu	DImadBiH
DImat	nAma	puM	caturTI	eka	DImate
DImat	nAma	puM	caturTI	dvi	DImadByAm
DImat	nAma	puM	caturTI	bahu	DImadByaH
DImat	nAma	puM	paYcamI	eka	DImataH
DImat	nAma	puM	paYcamI	dvi	DImadByAm
DImat	nAma	puM	paYcamI	bahu	DImadByaH
DImat	nAma	puM	zazWI	eka	DImataH
DImat	nAma	puM	zazWI	dvi	DImatoH
DImat	nAma	puM	zazWI	bahu	DImatAm
DImat	nAma	puM	saptamI	eka	DImati
DImat	nAma	puM	saptamI	dvi	DImatoH
DImat	nAma	puM	saptamI	bahu	DImatsu
DImat	nAma	puM	samboDana	eka	DIman
DImat	nAma	puM	samboDana	dvi	DImantO
DImat	nAma	puM	samboDana	bahu	DImantaH
vidvas	nAma	puM	praTamA	eka	vidvAn
vidvas	nAma	puM	praTamA	dvi	vidvAMsO
vidvas	nAma	puM	praTamA	bahu	vidvAMsaH
vidvas	nAma	puM	dvitIyA	eka	vidvAMsam
vidvas	nAma	puM	dvitIyA	dvi	vidvAMsO
vidvas	nAma	puM	dvitIyA	bahu	viduzaH
vidvas	nAma	puM	tftIyA	eka	viduzA
vidvas	nAma	puM	tftIyA	dvi	vidvadByAm
